id,gender,singular,english,plural,english,category1,category2,category3
1,die,”Mutter”,”mother”,”Mütter”,”mothers”,”People”,”Family”,”Other”
2,der,”Vater”,”father”,”Väter”,”fathers”,”People”,”Family”,”Other”
3,die,”Schwester”,”sister”,”Schwestern”,”sisters”,”People”,”Family”,”Other”
4,der ,”Bruder”,”brother”,”Brüder”,”brothers”,”People”,”Family”,”Other”
5,das,”Kind”,”child”,”Kinder”,”children”,”People”,”Family”,”Other”
6,die,”Tante”,”aunt”,”Tanten”,”aunts”,”People”,”Family”,”Other”
7,der,”Onkel”,”uncle”,”Onkel”,”uncles”,”People”,”Family”,”Other”
8,die,”Groβmutter ”,”grandmother”,”Groβmütter”,”grandmothers”,”People”,”Family”,”Other”
9,der ,”Groβvater ”,”grandfather”,”Groβväter”,”grandfathers”,”People”,”Family”,”Other”
10,die,”Cousine”,”female cousin”,”Cousinen”,”female cousins”,”People”,”Family”,”Other”
11,der,”Cousin”,”male cousin”,”Cousins”,”male cousins”,”People”,”Family”,”Other”
12,der,”Freund”,”boyfriend”,”Freunde”,”boyfriends”,”People”,”Family”,”Other”
13,die,”Freundin”,”girlfriend”,”Freundinnen”,”girlfriends”,”People”,”Family”,”Other”
14,der,”Mann”,”man”,”Männer”,”men”,”People”,”Family”,”Other”
15,die,”Frau”,”woman”,”Frauen”,”women”,”People”,”Family”,”Other”
16,der,”Kollege”,”male colleague”,”Kollegen”,”male colleagues”,”People”,”Profession”,”Other”
17,die,”Kollegin”,”female colleague”,”Kolleginnen”,”female colleagues”,”People”,”Profession”,”Other”
18,der,”Partner”,”male partner”,”Partner”,”male partners”,”People”,”Profession”,”Other”
19,die,”Partnerin”,”female partner”,”Partnerinnen”,”female partners”,”People”,”Profession”,”Other”
20,das,”Haus”,”house”,”Häuser”,”houses”,”Household Objects”,”Other”,”Other”
21,das,”Bett”,”bed”,”Betten”,”beds”,”Household Objects”,”Other”,”Other”
22,der,”Tisch”,”table”,”Tische”,”tables”,”Household Objects”,”Other”,”Other”
23,die,”Tür”,”door”,”Türen”,”doors”,”Household Objects”,”Other”,”Other”
24,das,”Kissen”,”pillow”,”Kissen”,”pillows”,”Household Objects”,”Other”,”Other”
25,das,”Fenster”,”window”,”Fenster”,”windows”,”Household Objects”,”Other”,”Other”
26,die,”Wand”,”wall”,”Wände”,”walls”,”Household Objects”,”Other”,”Other”
27,der,”Boden”,”floor”,”Böden”,”floors”,”Household Objects”,”Other”,”Other”
28,das,”Schlafzimmer”,”bedroom”,”Schlafzimmer”,”bedrooms”,”Household Objects”,”Other”,”Other”
29,das,”Badezimmer”,”bathroom”,”Badezimmer”,”bathrooms”,”Household Objects”,”Other”,”Other”
30,die,”Küche ”,”kitchen”,”Küchen”,”kitchens”,”Household Objects”,”Other”,”Other”
31,die,”Wohnung”,”living room”,”Wohnungen”,”living rooms”,”Household Objects”,”Other”,”Other”
32,der,”Keller”,”cellar”,”Keller”,”cellars”,”Household Objects”,”Other”,”Other”
33,die,”Couch”,”couch”,”Couches”,”couches”,”Household Objects”,”Other”,”Other”
34,der,”Stuhl”,”chair”,”Stühle”,”chairs”,”Household Objects”,”Other”,”Other”
35,das,”Waschbecken”,”sink”,”Waschbecken”,”sinks”,”Household Objects”,”Other”,”Other”
36,die,”Toilette”,”toilet”,”Toiletten”,”toilets”,”Household Objects”,”Other”,”Other”
37,die,”Badewanne”,”bathtub”,”Badewannen”,”bathtubs”,”Household Objects”,”Other”,”Other”
38,die,”Dusche”,”shower”,”Duschen”,”showers”,”Household Objects”,”Other”,”Other”
39,die,”Lampe”,”lamp”,”Lampen”,”lamps”,”Household Objects”,”Other”,”Other”
40,der,”Müll ”,”trash”,”Müll ”,”trash”,”Household Objects”,”Other”,”Other”
41,der,”Kühlschrank”,”refridgerator”,”Kühlschränken”,”refridgerators”,”Household Objects”,”Other”,”Other”
42,der,”Ofen”,”oven”,”Öfen”,”ovens”,”Household Objects”,”Other”,”Other”
43,der,”Mikrowellenherd”,”microwave”,”Mikrowellenherde”,”microwaves”,”Household Objects”,”Other”,”Other”
44,die,”Geschirrspülmaschine ”,”dishwasher”,”Geschirrspüler”,”dishwashers”,”Household Objects”,”Other”,”Other”
45,das,”Kabinett”,”cabinet”,”Kabinette”,”cabinets”,”Household Objects”,”Other”,”Other”
46,das,”Auto”,”car”,”Autos”,”cars”,”Transportation”,”Other”,”Other”
47,der,”Lustkraftwagen”,”truck”,”Lustkraftwagen”,”trucks”,”Transportation”,”Other”,”Other”
48,der,”Bus”,”bus”,”Busse”,”buses”,”Transportation”,”Other”,”Other”
49,das,”Flugzeug”,”plane”,”Flugzeuge”,”planes”,”Transportation”,”Other”,”Other”
50,der,”Zug”,”train”,”Züge”,”trains”,”Transportation”,”Other”,”Other”
51,das,”Boot”,”boat”,”Boote”,”boats”,”Transportation”,”Other”,”Other”
52,das,”Taxi”,”taxi”,”Taxis”,”taxis”,”Transportation”,”Other”,”Other”
53,der,”Schulbus”,”school bus”,”Schulbusse”,”school buses”,”Transportation”,”Other”,”Other”
54,das,”Ticket”,”ticket”,”Tickets”,”tickets”,”Transportation”,”Other”,”Other”
55,der,”Pass”,”pass”,”Pässe”,”passes”,”Transportation”,”Other”,”Other”
56,der,”Sattelzug”,”semi truck”,”Sattelzüge”,”semi trucks”,”Transportation”,”Other”,”Other”
57,die,”Stadt”,”city”,”Städte”,”cities”,”Locations”,”Other”,”Other”
