index,gender,singular,english,plural,englishplural,person,animal,thing,place,abstract,athome,atwork,dining,hotal,trave,people,events,shopping
1,”das”,”Messer”,”knife”,”Messer”,”knives”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,”die”,”Gabel”,”fork”,”Gabeln”,”forks”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,”der”,”Löffel”,”spoon”,”Löffel”,”spoons”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4,”das”,”Steakmesser”,”steak knife”,”Steakmesser”,”steak knives”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,”der”,”Teller”,”plates”,”Teller”,”plates”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6,”das”,”Glas”,”glass”,”Gläser”,”glasses”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7,”die”,”Tasse”,”cup”,”Tassen”,”cups”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8,”der”,”Flasche”,”bottle”,”Flaschen”,”bottles”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9,”der”,”Serviette”,”napkin”,”Servietten”,”napkins”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10,”der”,”Tisch”,”table”,”Tische”,”tables”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11,”der”,”Stuhl”,”chair”,”Stühle”,”chairs”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12,”die”,”Bar”,”bar”,”Bars”,”bars”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
13,”die”,”Reservierung”,”reservation”,”Reservierungen”,”reservations”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
14,”das”,”Obst ”,”fruit”,”Obst ”,”fruits”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15,”der”,”Apfel”,”apple”,”Äpfel ”,”apples”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16,”die”,”Erdbeere”,”strawberry”,”Erdbeeren”,”strawberries”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17,”die”,”Blaubeere”,”blueberry”,”Blaubeeren”,”blueberries”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18,”die”,”Brombeere”,”blackberry”,”Brombeeren”,”blackberries”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19,”die ”,”Himbeere”,”raspberry”,”Himbeeren”,”raspberries”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20,”die”,”Moosbeere”,”cranberry”,”Moosbeeren”,”cranberries”,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
